1 : {'AAPL': -3.7817934364023356, 'IBM': -8.447972478067106, 'GOOG': 9.29535281677885, 'BP': -1.2765700157404212, 'XOM': 2.4845266809328956, 'COST': 10.536408635709094, 'GS': -7.809952203210979}
2 : {'AAPL': -0.8156885369742979, 'IBM': -1.833381402393237, 'GOOG': 2.117723610260196, 'BP': -0.5382288552396433, 'XOM': 3.2171662199872144, 'COST': 2.0780112186174606, 'GS': -3.225602254257693}
3 : {'AAPL': -1.9937666467465232, 'IBM': 0.21805384197623962, 'GOOG': 3.4517416940867984, 'BP': -0.7559468964964673, 'XOM': 2.395442991968569, 'COST': 1.9786217701141795, 'GS': -4.294146754902796}
4 : {'AAPL': -1.9029046067484878, 'IBM': -1.2943014945210547, 'GOOG': 2.383343326044113, 'BP': 0.31153810044362445, 'XOM': 3.7510443842308776, 'COST': 1.4020781175832018, 'GS': -3.6507978270322745}
5 : {'AAPL': -0.5926727133973971, 'IBM': -0.1422267680298387, 'GOOG': 1.1450576770810588, 'BP': -0.02108331182834669, 'XOM': 1.1480574241579324, 'COST': 0.2598472493752161, 'GS': -0.7969795573586249}
6 : {'AAPL': -1.0092019423404448, 'IBM': 0.414752316384614, 'GOOG': 1.3728730222637617, 'BP': -0.18045717658550392, 'XOM': 1.423707138738303, 'COST': 0.4837177375466937, 'GS': -1.5053910960074237}
7 : {'AAPL': -0.9251322655885381, 'IBM': 1.9420304865998128, 'GOOG': 0.318107848674209, 'BP': -0.00846480537934143, 'XOM': 1.3042180636908447, 'COST': 0.2699699092214283, 'GS': -1.9007292372184152}
8 : {'AAPL': -0.24500796746772532, 'IBM': 0.6940834673627834, 'GOOG': 0.3443166536679733, 'BP': 0.2561533171607633, 'XOM': 0.5864440817241359, 'COST': 0.17310664147378696, 'GS': -0.8090961939217174}
9 : {'AAPL': 0.10194009301720369, 'IBM': 0.7471787075327373, 'GOOG': 0.09117348632793298, 'BP': 0.015991800276614114, 'XOM': 0.25279606782424496, 'COST': -0.017529049002922847, 'GS': -0.1915511059758102}
10 : {'AAPL': 0.3175403291698873, 'IBM': 0.49447482985007646, 'GOOG': 0.229547521837315, 'BP': 0.3099269382137581, 'XOM': -0.5181979190879775, 'COST': -0.18113340828133093, 'GS': 0.3478417082982716}
11 : {'AAPL': -0.43151206809714276, 'IBM': -0.13491072465903206, 'GOOG': 0.20594920701865907, 'BP': -0.11963091707613747, 'XOM': -0.4225327622811254, 'COST': -0.5176485565940101, 'GS': 2.420285821688789}
12 : {'AAPL': 0.28958922472150955, 'IBM': -0.029669379857741374, 'GOOG': 0.029069364808570662, 'BP': 0.2005431666092267, 'XOM': -0.6912058024716465, 'COST': 0.1897694667938845, 'GS': 1.0119039593961965}
